ParcelID,Hem,Centroid_MNI,Community,,,Shine_order,cifti2shine_Order,Label Name,Network,RegionNumber,MNI1,MNI2,MNI3,shine2cifti_order
1,L,-11.2 -52.4 36.5,Default,,,1,48,L_Default_1,Default,1,-11.2,-52.4,36.5,11
2,L,-18.8 -48.7 65,SMhand,,,2,264,L_SMhand_1,SMhand,1,-18.8,-48.7,65,18
3,L,-51.8 -7.8 38.5,SMmouth,,,3,302,L_SMmouth_1,SMmouth,1,-51.8,-7.8,38.5,19
4,L,-11.7 26.7 57,Default,,,4,49,L_Default_2,Default,2,-11.7,26.7,57,73
5,L,-18.4 -85.5 21.6,Visual,,,5,225,L_Visual_1,Visual,1,-18.4,-85.5,21.6,115
6,L,-47.2 -58 30.8,Default,,,6,50,L_Default_3,Default,3,-47.2,-58,30.8,118
7,L,-38.1 48.8 10.5,FrontoParietal,,,7,97,L_FrontoParietal_1,FrontoParietal,1,-38.1,48.8,10.5,119
8,L,-82.3,Visual,,,8,226,L_Visual_2,Visual,2,-16.8,-60.1,-5.4,120
9,L,-112.9,FrontoParietal,,,9,98,L_FrontoParietal_2,FrontoParietal,2,-55.9,-47.7,-9.3,121
10,L,-32 -29.3 15.6,Auditory,,,10,310,L_Auditory_1,Auditory,1,-32,-29.3,15.6,122
11,L,-29.3 5.3 -27.4,None,,,11,1,L_None_1,None,1,-29.3,5.3,-27.4,123
12,L,-6.1 -26 28.5,CinguloParietal,,,12,165,L_MedialParietal_1,MedialParietal,1,-6.1,-26,28.5,124
13,L,-14.4 -57.8 18.4,RetrosplenialTemporal,,,13,89,L_ParietoOccip_1,ParietoOccip,1,-14.4,-57.8,18.4,125
14,L,-8.8 -49.8 4.2,RetrosplenialTemporal,,,14,90,L_ParietoOccip_2,ParietoOccip,2,-8.8,-49.8,4.2,128
15,L,-11.3 -83.2 3.9,Visual,,,15,227,L_Visual_3,Visual,3,-11.3,-83.2,3.9,129
16,L,-22 -58.1 1.5,Visual,,,16,228,L_Visual_4,Visual,4,-22,-58.1,1.5,133
17,L,-9.6 -58 3,Visual,,,17,229,L_Visual_5,Visual,5,-9.6,-58,3,134
18,L,-73.2,None,,,18,2,L_None_2,None,2,-29,-35.9,-8.3,135
19,L,-58.8,None,,,19,3,L_None_3,None,3,-18.5,-39.2,-1.1,142
20,L,-66.4,Visual,,,20,230,L_Visual_6,Visual,6,-16.7,-46,-3.7,144
21,L,-16.6 -36.1 42.7,CinguloOperc,,,21,125,L_CinguloOperc_1,CinguloOperc,1,-16.6,-36.1,42.7,159
22,L,-9.4 -0.1 42.9,CinguloOperc,,,22,126,L_CinguloOperc_2,CinguloOperc,2,-9.4,-0.1,42.9,172
23,L,-3.8 12.1 64.6,VentralAttn,,,23,202,L_VentralAttn_1,VentralAttn,1,-3.8,12.1,64.6,178
24,L,-5.5 29.3 44,FrontoParietal,,,24,99,L_FrontoParietal_3,FrontoParietal,3,-5.5,29.3,44,179
25,L,-5.6 42.2 35.1,Default,,,25,51,L_Default_4,Default,4,-5.6,42.2,35.1,280
26,L,-1.7 -17.7 39.1,Default,,,26,52,L_Default_5,Default,5,-1.7,-17.7,39.1,281
27,L,-8.4 14.6 33.8,CinguloOperc,,,27,127,L_CinguloOperc_3,CinguloOperc,3,-8.4,14.6,33.8,282
28,L,-9 25.3 27.7,CinguloOperc,,,28,128,L_CinguloOperc_4,CinguloOperc,4,-9,25.3,27.7,283
29,L,-10 33.9 21.5,Salience,,,29,121,L_Salience_1,Salience,1,-10,33.9,21.5,284
30,L,-10.7 -47.5 60.3,SMhand,,,30,265,L_SMhand_2,SMhand,2,-10.7,-47.5,60.3,285
31,L,-15.6 -33.1 66.1,SMhand,,,31,266,L_SMhand_3,SMhand,3,-15.6,-33.1,66.1,286
32,L,-10.9 -29.3 69.5,SMhand,,,32,267,L_SMhand_4,SMhand,4,-10.9,-29.3,69.5,287
33,L,-6.6 -20.4 74.2,SMhand,,,33,268,L_SMhand_5,SMhand,5,-6.6,-20.4,74.2,288
34,L,-8 -8.7 62.9,CinguloOperc,,,34,129,L_CinguloOperc_5,CinguloOperc,5,-8,-8.7,62.9,289
35,L,-10.8 -41.1 64.9,SMhand,,,35,269,L_SMhand_6,SMhand,6,-10.8,-41.1,64.9,291
36,L,-5 -28.2 60.4,SMhand,,,36,270,L_SMhand_7,SMhand,7,-5,-28.2,60.4,292
37,L,-5.4 -15.9 48.8,SMhand,,,37,271,L_SMhand_8,SMhand,8,-5.4,-15.9,48.8,296
38,L,-35.8 -29.7 54.5,SMhand,,,38,272,L_SMhand_9,SMhand,9,-35.8,-29.7,54.5,297
39,L,-41.5 -12.5 50.4,SMmouth,,,39,303,L_SMmouth_2,SMmouth,2,-41.5,-12.5,50.4,300
40,L,-42.1 -4.5 47.3,CinguloOperc,,,40,130,L_CinguloOperc_6,CinguloOperc,6,-42.1,-4.5,47.3,301
41,L,-27.3 -6.8 46.3,DorsalAttn,,,41,170,L_DorsalAttn_1,DorsalAttn,1,-27.3,-6.8,46.3,302
42,L,-27.3 1.9 52.9,DorsalAttn,,,42,171,L_DorsalAttn_2,DorsalAttn,2,-27.3,1.9,52.9,303
43,L,-19.8 6.4 55.7,DorsalAttn,,,43,172,L_DorsalAttn_3,DorsalAttn,3,-19.8,6.4,55.7,304
44,L,-19.5 30.1 45.5,Default,,,44,53,L_Default_6,Default,6,-19.5,30.1,45.5,305
45,L,-36.8 -22.8 61.9,SMhand,,,45,273,L_SMhand_10,SMhand,10,-36.8,-22.8,61.9,306
46,L,-20.5 -24.9 64.5,SMhand,,,46,274,L_SMhand_11,SMhand,11,-20.5,-24.9,64.5,312
47,L,-23.4 -13.8 64.2,SMhand,,,47,275,L_SMhand_12,SMhand,12,-23.4,-13.8,64.2,314
48,L,-17.2 -8.6 67.9,SMhand,,,48,276,L_SMhand_13,SMhand,13,-17.2,-8.6,67.9,1
49,L,-21.3 -0.2 62.7,DorsalAttn,,,49,173,L_DorsalAttn_4,DorsalAttn,4,-21.3,-0.2,62.7,4
50,L,-28.6 -44.7 61.7,SMhand,,,50,277,L_SMhand_14,SMhand,14,-28.6,-44.7,61.7,6
51,L,-31.1 -48.9 47.1,DorsalAttn,,,51,174,L_DorsalAttn_5,DorsalAttn,5,-31.1,-48.9,47.1,25
52,L,-42.9 -45 43,DorsalAttn,,,52,175,L_DorsalAttn_6,DorsalAttn,6,-42.9,-45,43,26
53,L,-51.5 -11.9 29.7,SMmouth,,,53,304,L_SMmouth_3,SMmouth,3,-51.5,-11.9,29.7,44
54,L,-54.1 -21.3 40.8,SMhand,,,54,278,L_SMhand_15,SMhand,15,-54.1,-21.3,40.8,94
55,L,-51.7 -30.9 39.9,DorsalAttn,,,55,176,L_DorsalAttn_7,DorsalAttn,7,-51.7,-30.9,39.9,114
56,L,-35.2 -35.3 42,SMhand,,,56,279,L_SMhand_16,SMhand,16,-35.2,-35.3,42,116
57,L,-27.5 -37.2 61.4,SMhand,,,57,280,L_SMhand_17,SMhand,17,-27.5,-37.2,61.4,117
58,L,-47.2 -31.4 54.8,SMhand,,,58,281,L_SMhand_18,SMhand,18,-47.2,-31.4,54.8,126
59,L,-46.1 -17.8 52.7,SMmouth,,,59,305,L_SMmouth_4,SMmouth,4,-46.1,-17.8,52.7,127
60,L,-44.8 -54 14.6,VentralAttn,,,60,203,L_VentralAttn_2,VentralAttn,2,-44.8,-54,14.6,145
61,L,-51.6 -55.9 11.4,VentralAttn,,,61,204,L_VentralAttn_3,VentralAttn,3,-51.6,-55.9,11.4,146
62,L,-48.1 -40 2.4,VentralAttn,,,62,205,L_VentralAttn_4,VentralAttn,4,-48.1,-40,2.4,150
63,L,-57.7 -40.6 35.8,CinguloOperc,,,63,131,L_CinguloOperc_7,CinguloOperc,7,-57.7,-40.6,35.8,151
64,L,-46.3 -41.4 25.9,Auditory,,,64,311,L_Auditory_2,Auditory,2,-46.3,-41.4,25.9,152
65,L,-35.8 -33.5 19.9,Auditory,,,65,312,L_Auditory_3,Auditory,3,-35.8,-33.5,19.9,154
66,L,-52.7 -20.6 5.4,Auditory,,,66,313,L_Auditory_4,Auditory,4,-52.7,-20.6,5.4,156
67,L,-59.6 -38.5 16.5,Auditory,,,67,314,L_Auditory_5,Auditory,5,-59.6,-38.5,16.5,157
68,L,-58.7 -29.9 11.1,Auditory,,,68,315,L_Auditory_6,Auditory,6,-58.7,-29.9,11.1,162
69,L,-40.6 -38.3 14.5,Auditory,,,69,316,L_Auditory_7,Auditory,7,-40.6,-38.3,14.5,165
70,L,-33.7 -21.8 9.9,Auditory,,,70,317,L_Auditory_8,Auditory,8,-33.7,-21.8,9.9,184
71,L,-60,CinguloOperc,,,71,132,L_CinguloOperc_8,CinguloOperc,8,-38.7,-16,-5.3,186
72,L,-52.9,CinguloOperc,,,72,133,L_CinguloOperc_9,CinguloOperc,9,-39.1,-1.6,-12.2,200
73,L,-33.6 17.2 -31.5,None,,,73,4,L_None_4,None,4,-33.6,17.2,-31.5,220
74,L,-43.6 36.3 8.5,DorsalAttn,,,74,177,L_DorsalAttn_8,DorsalAttn,8,-43.6,36.3,8.5,225
75,L,-50 20.8 10.6,VentralAttn,,,75,206,L_VentralAttn_5,VentralAttn,5,-50,20.8,10.6,257
76,L,-37.7 2.9 11.7,CinguloOperc,,,76,134,L_CinguloOperc_10,CinguloOperc,10,-37.7,2.9,11.7,259
77,L,-37.2 -14 19.4,Auditory,,,77,318,L_Auditory_9,Auditory,9,-37.2,-14,19.4,278
78,L,-40.3 50.4 -4.8,FrontoParietal,,,78,100,L_FrontoParietal_4,FrontoParietal,4,-40.3,50.4,-4.8,279
79,L,-47.2 39 -9.1,VentralAttn,,,79,207,L_VentralAttn_6,VentralAttn,6,-47.2,39,-9.1,290
80,L,-29.1 20.5 -14,VentralAttn,,,80,208,L_VentralAttn_7,VentralAttn,7,-29.1,20.5,-14,315
81,L,-36.6 1.4 6.4,CinguloOperc,,,81,135,L_CinguloOperc_11,CinguloOperc,11,-36.6,1.4,6.4,316
82,L,-37.3 8.9 -0.9,CinguloOperc,,,82,136,L_CinguloOperc_12,CinguloOperc,12,-37.3,8.9,-0.9,321
83,L,-32.5 17.2 -7.8,Salience,,,83,122,L_Salience_2,Salience,2,-32.5,17.2,-7.8,322
84,L,-28.8 23.7 8.4,CinguloOperc,,,84,137,L_CinguloOperc_13,CinguloOperc,13,-28.8,23.7,8.4,323
85,L,-44.3 33.2 -7.2,VentralAttn,,,85,209,L_VentralAttn_8,VentralAttn,8,-44.3,33.2,-7.2,324
86,L,-45.4 28.8 0.8,VentralAttn,,,86,210,L_VentralAttn_9,VentralAttn,9,-45.4,28.8,0.8,325
87,L,-20.4 -64.6 51.4,DorsalAttn,,,87,178,L_DorsalAttn_9,DorsalAttn,9,-20.4,-64.6,51.4,326
88,L,-25.8 -65 32.2,DorsalAttn,,,88,179,L_DorsalAttn_10,DorsalAttn,10,-25.8,-65,32.2,331
89,L,-12.7 -64.9 31.8,CinguloParietal,,,89,166,L_MedialParietal_2,MedialParietal,2,-12.7,-64.9,31.8,13
90,L,-13.7 -77.4 26.6,Visual,,,90,231,L_Visual_7,Visual,7,-13.7,-77.4,26.6,14
91,L,-9.9 -56.9 59.8,DorsalAttn,,,91,180,L_DorsalAttn_11,DorsalAttn,11,-9.9,-56.9,59.8,130
92,L,-7.1 -63.7 54.9,DorsalAttn,,,92,181,L_DorsalAttn_12,DorsalAttn,12,-7.1,-63.7,54.9,143
93,L,-10.9 -73.4 42.9,CinguloParietal,,,93,167,L_MedialParietal_3,MedialParietal,3,-10.9,-73.4,42.9,174
94,L,-39.3 -73.9 38.3,Default,,,94,54,L_Default_7,Default,7,-39.3,-73.9,38.3,294
95,L,-30 -74.1 36.1,DorsalAttn,,,95,182,L_DorsalAttn_13,DorsalAttn,13,-30,-74.1,36.1,295
96,L,-34.1 -61 42.4,FrontoParietal,,,96,101,L_FrontoParietal_5,FrontoParietal,5,-34.1,-61,42.4,313
97,L,-31.3 -84.2 9,Visual,,,97,232,L_Visual_8,Visual,8,-31.3,-84.2,9,7
98,L,-121.3,Visual,,,98,233,L_Visual_9,Visual,9,-34.2,-86.6,-0.5,9
99,L,-43.4 -67.6 9.7,Visual,,,99,234,L_Visual_10,Visual,10,-43.4,-67.6,9.7,24
100,L,-111.8,DorsalAttn,,,100,183,L_DorsalAttn_14,DorsalAttn,14,-46.2,-57.7,-7.9,78
101,L,-59.8 -4.1 8.8,CinguloOperc,,,101,138,L_CinguloOperc_14,CinguloOperc,14,-59.8,-4.1,8.8,96
102,L,-52.2 -14.1 15.2,Auditory,,,102,319,L_Auditory_10,Auditory,10,-52.2,-14.1,15.2,108
103,L,-55.1 -32.3 23,CinguloOperc,,,103,139,L_CinguloOperc_15,CinguloOperc,15,-55.1,-32.3,23,109
104,L,-50.6 -22.4 19.2,Auditory,,,104,320,L_Auditory_11,Auditory,11,-50.6,-22.4,19.2,148
105,L,-58.8 -23.9 31,CinguloOperc,,,105,140,L_CinguloOperc_16,CinguloOperc,16,-58.8,-23.9,31,149
106,L,-45.2 2.7 32.4,DorsalAttn,,,106,184,L_DorsalAttn_15,DorsalAttn,15,-45.2,2.7,32.4,167
107,L,-34.7 5.6 34,DorsalAttn,,,107,185,L_DorsalAttn_16,DorsalAttn,16,-34.7,5.6,34,168
108,L,-43 19.4 33.5,FrontoParietal,,,108,102,L_FrontoParietal_6,FrontoParietal,6,-43,19.4,33.5,170
109,L,-40.2 23.6 23.3,FrontoParietal,,,109,103,L_FrontoParietal_7,FrontoParietal,7,-40.2,23.6,23.3,182
110,L,-37.6 38.4 17.2,DorsalAttn,,,110,186,L_DorsalAttn_17,DorsalAttn,17,-37.6,38.4,17.2,240
111,L,-51.8 -0.6 5,CinguloOperc,,,111,141,L_CinguloOperc_17,CinguloOperc,17,-51.8,-0.6,5,260
112,L,-48.6 7.5 11.1,CinguloOperc,,,112,142,L_CinguloOperc_18,CinguloOperc,18,-48.6,7.5,11.1,261
113,L,-41.6 8.7 22.2,DorsalAttn,,,113,187,L_DorsalAttn_18,DorsalAttn,18,-41.6,8.7,22.2,272
114,L,-27.5 53.6 0,Default,,,114,55,L_Default_8,Default,8,-27.5,53.6,0,273
115,L,-23.4 61 -6.8,None,,,115,5,L_None_5,None,5,-23.4,61,-6.8,276
116,L,-5.9 54.8 -11.3,Default,,,116,56,L_Default_9,Default,9,-5.9,54.8,-11.3,277
117,L,-6.8 38.2 -9.4,Default,,,117,57,L_Default_10,Default,10,-6.8,38.2,-9.4,319
118,L,-31.8 2.6 -16.8,None,,,118,6,L_None_6,None,6,-31.8,2.6,-16.8,320
119,L,-34.7 35.6 -9.6,None,,,119,7,L_None_7,None,7,-34.7,35.6,-9.6,327
120,L,-22.5 32.1 -13.6,None,,,120,8,L_None_8,None,8,-22.5,32.1,-13.6,328
121,L,-23.8 52.2 -12.8,None,,,121,9,L_None_9,None,9,-23.8,52.2,-12.8,29
122,L,-17.3 46.6 -17.9,None,,,122,10,L_None_10,None,10,-17.3,46.6,-17.9,83
123,L,-13.3 24 -16.4,None,,,123,11,L_None_11,None,11,-13.3,24,-16.4,183
124,L,-8.9 45.5 -20.8,None,,,124,12,L_None_12,None,12,-8.9,45.5,-20.8,247
125,L,-2.5 33.8 -26.2,None,,,125,13,L_None_13,None,13,-2.5,33.8,-26.2,21
126,L,-99.1,Default,,,126,58,L_Default_11,Default,11,-63.2,-28.7,-7.2,22
127,L,-80.5,Default,,,127,59,L_Default_12,Default,12,-53.1,-11.4,-16,27
128,L,-95.4,None,,,128,14,L_None_14,None,14,-53.2,-13,-29.2,28
129,L,-44.6 9 -37,None,,,129,15,L_None_15,None,15,-44.6,9,-37,34
130,L,-82.4,RetrosplenialTemporal,,,130,91,L_ParietoOccip_3,ParietoOccip,3,-33.8,-33.2,-15.4,40
131,L,-96.7,Visual,,,131,235,L_Visual_11,Visual,11,-28.8,-58.8,-9.1,63
132,L,-114,Visual,,,132,236,L_Visual_12,Visual,12,-34.4,-63.9,-15.7,71
133,L,-110.9,None,,,133,16,L_None_16,None,16,-55.1,-39.6,-16.2,72
134,L,-81.1,None,,,134,17,L_None_17,None,17,-32,-3.9,-45.2,76
135,L,-78.5,None,,,135,18,L_None_18,None,18,-38.6,-13,-26.9,81
136,L,-99.7,Visual,,,136,237,L_Visual_13,Visual,13,-34.3,-43.8,-21.6,82
137,L,-5.4 -88 18.6,Visual,,,137,238,L_Visual_14,Visual,14,-5.4,-88,18.6,84
138,L,-89.6,Visual,,,138,239,L_Visual_15,Visual,15,-8.6,-77.5,-3.5,101
139,L,-119.2,Visual,,,139,240,L_Visual_16,Visual,16,-41.2,-72.1,-5.9,103
140,L,-130.3,Visual,,,140,241,L_Visual_17,Visual,17,-25.2,-97.2,-7.9,105
141,L,-116,Visual,,,141,242,L_Visual_18,Visual,18,-22.6,-81.7,-11.7,111
142,L,-56.8,None,,,142,19,L_None_19,None,19,-20.5,-12.6,-23.7,112
143,L,-74.6,RetrosplenialTemporal,,,143,92,L_ParietoOccip_4,ParietoOccip,4,-22.5,-37.1,-15,147
144,L,-61.3,None,,,144,20,L_None_20,None,20,-22,-21.9,-17.4,153
145,L,-15.9 48.6 37.2,Default,,,145,60,L_Default_13,Default,13,-15.9,48.6,37.2,180
146,L,-19.5 56.3 27.5,Default,,,146,61,L_Default_14,Default,14,-19.5,56.3,27.5,181
147,L,-26.6 46.8 20.9,CinguloOperc,,,147,143,L_CinguloOperc_19,CinguloOperc,19,-26.6,46.8,20.9,185
148,L,-21.3 63.1 1.9,FrontoParietal,,,148,104,L_FrontoParietal_8,FrontoParietal,8,-21.3,63.1,1.9,187
149,L,-28.6 50.9 10.1,FrontoParietal,,,149,105,L_FrontoParietal_9,FrontoParietal,9,-28.6,50.9,10.1,188
150,L,-6.5 54.7 18.1,Default,,,150,62,L_Default_15,Default,15,-6.5,54.7,18.1,192
151,L,-15.7 64.7 13.7,Default,,,151,63,L_Default_16,Default,16,-15.7,64.7,13.7,196
152,L,-6 44.9 6.3,Default,,,152,64,L_Default_17,Default,17,-6,44.9,6.3,198
153,L,-28.8 38.3 28.2,CinguloOperc,,,153,144,L_CinguloOperc_20,CinguloOperc,20,-28.8,38.3,28.2,219
154,L,-26.2 26.6 38.8,Default,,,154,65,L_Default_18,Default,18,-26.2,26.6,38.8,223
155,L,-35.7 33.1 32,DorsalAttn,,,155,188,L_DorsalAttn_19,DorsalAttn,19,-35.7,33.1,32,234
156,L,-29.3 16.8 50.7,Default,,,156,66,L_Default_19,Default,19,-29.3,16.8,50.7,235
157,L,-41.7 16.1 47.5,Default,,,157,67,L_Default_20,Default,20,-41.7,16.1,47.5,238
158,L,-38.7 4.8 48.4,VentralAttn,,,158,211,L_VentralAttn_10,VentralAttn,10,-38.7,4.8,48.4,245
159,L,-50.8 6.9 -20.1,None,,,159,21,L_None_21,None,21,-50.8,6.9,-20.1,246
160,L,-56.5,Auditory,,,160,321,L_Auditory_12,Auditory,12,-54.4,-1.4,-0.7,248
161,L,-80,VentralAttn,,,161,212,L_VentralAttn_11,VentralAttn,11,-59,-18,-3,249
162,R,12.3 -51.6 34.5,Default,,,162,68,R_Default_21,Default,21,12.3,-51.6,34.5,274
163,R,20.8 -48.2 66.1,SMhand,,,163,282,R_SMhand_19,SMhand,19,20.8,-48.2,66.1,317
164,R,49.6 -7.4 36.1,SMmouth,,,164,306,R_SMmouth_5,SMmouth,5,49.6,-7.4,36.1,318
165,R,11.9 21.9 59.9,Default,,,165,69,R_Default_22,Default,22,11.9,21.9,59.9,12
166,R,22 -84.6 23.7,Visual,,,166,243,R_Visual_19,Visual,19,22,-84.6,23.7,89
167,R,47.9 -42.5 41.5,FrontoParietal,,,167,106,R_FrontoParietal_10,FrontoParietal,10,47.9,-42.5,41.5,93
168,R,38.1 45.9 7.7,FrontoParietal,,,168,107,R_FrontoParietal_11,FrontoParietal,11,38.1,45.9,7.7,173
169,R,22.3 -46.5 -9.9,Visual,,,169,244,R_Visual_20,Visual,20,22.3,-46.5,-9.9,254
170,R,59.7 -41 -10.9,FrontoParietal,,,170,108,R_FrontoParietal_12,FrontoParietal,12,59.7,-41,-10.9,41
171,R,33.6 -22.3 13,Auditory,,,171,322,R_Auditory_13,Auditory,13,33.6,-22.3,13,42
172,R,32.5 13.6 -30.5,None,,,172,22,R_None_22,None,22,32.5,13.6,-30.5,43
173,R,7.6 -27 28.4,CinguloParietal,,,173,168,L_MedialParietal_4,MedialParietal,4,7.6,-27,28.4,49
174,R,13.8 -54.1 10.9,RetrosplenialTemporal,,,174,93,R_ParietoOccip_5,ParietoOccip,5,13.8,-54.1,10.9,51
175,R,15.5 -74.1 9.4,Visual,,,175,245,R_Visual_21,Visual,21,15.5,-74.1,9.4,52
176,R,19.6 -45.3 -4.4,Visual,,,176,246,R_Visual_22,Visual,22,19.6,-45.3,-4.4,55
177,R,15.6 -59.6 -5,Visual,,,177,247,R_Visual_23,Visual,23,15.6,-59.6,-5,74
178,R,24.9 -35.9 -4.8,None,,,178,23,R_None_23,None,23,24.9,-35.9,-4.8,87
179,R,19.4 -29.9 -9.7,None,,,179,24,R_None_24,None,24,19.4,-29.9,-9.7,88
