ParcelID,Hem,Centroid_MNI,Community,,,Shine_order,cifti2shine_Order,Label Name,Network,RegionNumber,MNI1,MNI2,MNI3,shine2cifti_order
180,R,16.2 -33.1 43.2,CinguloOperc,,,180,145,R_CinguloOperc_21,CinguloOperc,21,16.2,-33.1,43.2,91
181,R,6.7 5 55.9,CinguloOperc,,,181,146,R_CinguloOperc_22,CinguloOperc,22,6.7,5,55.9,92
182,R,7 25.7 47.3,FrontoParietal,,,182,109,R_FrontoParietal_13,FrontoParietal,13,7,25.7,47.3,95
183,R,8.4 34.7 22.6,Salience,,,183,123,R_Salience_3,Salience,3,8.4,34.7,22.6,100
184,R,7.7 44.1 5.5,Default,,,184,70,R_Default_23,Default,23,7.7,44.1,5.5,106
185,R,8.6 4.2 40.1,CinguloOperc,,,185,147,R_CinguloOperc_23,CinguloOperc,23,8.6,4.2,40.1,107
186,R,3 -19.6 37.9,Default,,,186,71,R_Default_24,Default,24,3,-19.6,37.9,110
187,R,8.8 10.8 45.9,CinguloOperc,,,187,148,R_CinguloOperc_24,CinguloOperc,24,8.8,10.8,45.9,113
188,R,6 21.8 32.4,CinguloOperc,,,188,149,R_CinguloOperc_25,CinguloOperc,25,6,21.8,32.4,155
189,R,10.3 -57.3 58.3,DorsalAttn,,,189,189,R_DorsalAttn_20,DorsalAttn,20,10.3,-57.3,58.3,189
190,R,16.5 -32.8 67.7,SMhand,,,190,283,R_SMhand_20,SMhand,20,16.5,-32.8,67.7,199
191,R,4.8 -27.1 64.8,SMhand,,,191,284,R_SMhand_21,SMhand,21,4.8,-27.1,64.8,203
192,R,16.2 0.8 67.5,CinguloOperc,,,192,150,R_CinguloOperc_26,CinguloOperc,26,16.2,0.8,67.5,208
193,R,11.9 -40.7 67,SMhand,,,193,285,R_SMhand_22,SMhand,22,11.9,-40.7,67,211
194,R,5.1 -17.1 51.6,SMhand,,,194,286,R_SMhand_23,SMhand,23,5.1,-17.1,51.6,236
195,R,6.8 -8.1 50.9,SMhand,,,195,287,R_SMhand_24,SMhand,24,6.8,-8.1,50.9,250
196,R,8 -6.2 63.7,CinguloOperc,,,196,151,R_CinguloOperc_27,CinguloOperc,27,8,-6.2,63.7,252
197,R,42.3 -11 47.3,SMmouth,,,197,307,R_SMmouth_6,SMmouth,6,42.3,-11,47.3,253
198,R,42.5 -2.3 47.2,CinguloOperc,,,198,152,R_CinguloOperc_28,CinguloOperc,28,42.5,-2.3,47.2,262
199,R,29.2 1.9 52.4,DorsalAttn,,,199,190,R_DorsalAttn_21,DorsalAttn,21,29.2,1.9,52.4,266
200,R,21.9 21 46.2,Default,,,200,72,R_Default_25,Default,25,21.9,21,46.2,271
201,R,38.1 -22.4 60.3,SMhand,,,201,288,R_SMhand_25,SMhand,25,38.1,-22.4,60.3,275
202,R,19.7 -25 65.2,SMhand,,,202,289,R_SMhand_26,SMhand,26,19.7,-25,65.2,23
203,R,29.9 -7.8 47.4,DorsalAttn,,,203,191,R_DorsalAttn_22,DorsalAttn,22,29.9,-7.8,47.4,60
204,R,12.4 -28.3 69.6,SMhand,,,204,290,R_SMhand_27,SMhand,27,12.4,-28.3,69.6,61
205,R,29.2 -13.5 64.2,SMhand,,,205,291,R_SMhand_28,SMhand,28,29.2,-13.5,64.2,62
206,R,17 -16.9 70.9,SMhand,,,206,292,R_SMhand_29,SMhand,29,17,-16.9,70.9,75
207,R,20.9 -6.4 65,SMhand,,,207,293,R_SMhand_30,SMhand,30,20.9,-6.4,65,79
208,R,22.6 5.6 57.6,DorsalAttn,,,208,192,R_DorsalAttn_23,DorsalAttn,23,22.6,5.6,57.6,80
209,R,29.5 -42.5 60.4,SMhand,,,209,294,R_SMhand_31,SMhand,31,29.5,-42.5,60.4,85
210,R,34.2 -40.6 51.6,SMhand,,,210,295,R_SMhand_32,SMhand,32,34.2,-40.6,51.6,86
211,R,38.8 -42.6 40.4,DorsalAttn,,,211,193,R_DorsalAttn_24,DorsalAttn,24,38.8,-42.6,40.4,158
212,R,53.9 -8.3 26.1,SMmouth,,,212,308,R_SMmouth_7,SMmouth,7,53.9,-8.3,26.1,161
213,R,39.6 -31.5 39.7,SMhand,,,213,296,R_SMhand_33,SMhand,33,39.6,-31.5,39.7,221
214,R,28 -34.8 63.1,SMhand,,,214,297,R_SMhand_34,SMhand,34,28,-34.8,63.1,222
215,R,39.2 -34.6 57.5,SMhand,,,215,298,R_SMhand_35,SMhand,35,39.2,-34.6,57.5,226
216,R,37.3 -25.9 50.9,SMhand,,,216,299,R_SMhand_36,SMhand,36,37.3,-25.9,50.9,228
217,R,48.7 -26.1 52.2,SMhand,,,217,300,R_SMhand_37,SMhand,37,48.7,-26.1,52.2,229
218,R,47.8 -15.1 49.3,SMmouth,,,218,309,R_SMmouth_8,SMmouth,8,47.8,-15.1,49.3,231
219,R,57.5 -40.3 34.7,CinguloOperc,,,219,153,R_CinguloOperc_29,CinguloOperc,29,57.5,-40.3,34.7,237
220,R,48.9 -53 28.6,Default,,,220,73,R_Default_26,Default,26,48.9,-53,28.6,241
221,R,57.5 -45.3 9,VentralAttn,,,221,213,R_VentralAttn_12,VentralAttn,12,57.5,-45.3,9,242
222,R,60.9 -38.7 1.7,VentralAttn,,,222,214,R_VentralAttn_13,VentralAttn,13,60.9,-38.7,1.7,243
223,R,54.9 -27 29.6,CinguloOperc,,,223,154,R_CinguloOperc_30,CinguloOperc,30,54.9,-27,29.6,332
224,R,36.4 -30.7 19.4,Auditory,,,224,323,R_Auditory_14,Auditory,14,36.4,-30.7,19.4,333
225,R,62.5 -25.6 -5.5,Default,,,225,74,R_Default_27,Default,27,62.5,-25.6,-5.5,5
226,R,57.1 -17 -2.6,VentralAttn,,,226,215,R_VentralAttn_14,VentralAttn,14,57.1,-17,-2.6,8
227,R,53.8 -15.8 5.2,Auditory,,,227,324,R_Auditory_15,Auditory,15,53.8,-15.8,5.2,15
228,R,47.4 -39.6 13.2,VentralAttn,,,228,216,R_VentralAttn_15,VentralAttn,15,47.4,-39.6,13.2,16
229,R,45.5 -37.3 3.4,VentralAttn,,,229,217,R_VentralAttn_16,VentralAttn,16,45.5,-37.3,3.4,17
230,R,59.2 -38.6 14.6,Auditory,,,230,325,R_Auditory_16,Auditory,16,59.2,-38.6,14.6,20
231,R,48.5 -26.5 -0.1,VentralAttn,,,231,218,R_VentralAttn_17,VentralAttn,17,48.5,-26.5,-0.1,90
232,R,61.7 -24 1.3,Auditory,,,232,326,R_Auditory_17,Auditory,17,61.7,-24,1.3,97
233,R,60 -25.2 10.2,Auditory,,,233,327,R_Auditory_18,Auditory,18,60,-25.2,10.2,98
234,R,38.8 -14.4 -5,CinguloOperc,,,234,155,R_CinguloOperc_31,CinguloOperc,31,38.8,-14.4,-5,99
235,R,39.7 1.2 -13.1,CinguloOperc,,,235,156,R_CinguloOperc_32,CinguloOperc,32,39.7,1.2,-13.1,131
236,R,36.8 37.8 13.1,DorsalAttn,,,236,194,R_DorsalAttn_25,DorsalAttn,25,36.8,37.8,13.1,132
237,R,52.5 23.7 10.3,VentralAttn,,,237,219,R_VentralAttn_18,VentralAttn,18,52.5,23.7,10.3,136
238,R,36.7 5.2 12.7,CinguloOperc,,,238,157,R_CinguloOperc_33,CinguloOperc,33,36.7,5.2,12.7,137
239,R,38.4 -12.2 20,Auditory,,,239,328,R_Auditory_19,Auditory,19,38.4,-12.2,20,138
240,R,42.8 48.3 -5.1,FrontoParietal,,,240,110,R_FrontoParietal_14,FrontoParietal,14,42.8,48.3,-5.1,139
241,R,48.1 38.3 -9.2,VentralAttn,,,241,220,R_VentralAttn_19,VentralAttn,19,48.1,38.3,-9.2,140
242,R,45.2 30.7 -5.6,VentralAttn,,,242,221,R_VentralAttn_20,VentralAttn,20,45.2,30.7,-5.6,141
243,R,27.4 19.7 -14.9,VentralAttn,,,243,222,R_VentralAttn_21,VentralAttn,21,27.4,19.7,-14.9,166
244,R,36.6 -10 12.4,Auditory,,,244,329,R_Auditory_20,Auditory,20,36.6,-10,12.4,169
245,R,39.6 10.4 -1.6,CinguloOperc,,,245,158,R_CinguloOperc_34,CinguloOperc,34,39.6,10.4,-1.6,175
246,R,36.5 5.7 6,CinguloOperc,,,246,159,R_CinguloOperc_35,CinguloOperc,35,36.5,5.7,6,176
247,R,30.6 22.8 -4.7,Salience,,,247,124,R_Salience_4,Salience,4,30.6,22.8,-4.7,177
248,R,33.7 22.6 3.7,CinguloOperc,,,248,160,R_CinguloOperc_36,CinguloOperc,36,33.7,22.6,3.7,251
249,R,34 24.4 10,CinguloOperc,,,249,161,R_CinguloOperc_37,CinguloOperc,37,34,24.4,10,255
250,R,48.1 38.4 2.4,DorsalAttn,,,250,195,R_DorsalAttn_26,DorsalAttn,26,48.1,38.4,2.4,256
251,R,26.8 -55 54.2,Visual,,,251,248,R_Visual_24,Visual,24,26.8,-55,54.2,258
252,R,23 -66.4 51.8,DorsalAttn,,,252,196,R_DorsalAttn_27,DorsalAttn,27,23,-66.4,51.8,263
253,R,32.3 -63.6 33.8,DorsalAttn,,,253,197,R_DorsalAttn_28,DorsalAttn,28,32.3,-63.6,33.8,264
254,R,15.6 -69.5 39.6,CinguloParietal,,,254,169,L_MedialParietal_5,MedialParietal,5,15.6,-69.5,39.6,265
255,R,17.6 -78.3 34,Visual,,,255,249,R_Visual_25,Visual,25,17.6,-78.3,34,267
256,R,7.7 -85.6 31.6,Visual,,,256,250,R_Visual_26,Visual,26,7.7,-85.6,31.6,293
257,R,7.4 -69.3 49.9,Default,,,257,75,R_Default_28,Default,28,7.4,-69.3,49.9,298
258,R,35.4 -77.1 21.1,Visual,,,258,251,R_Visual_27,Visual,27,35.4,-77.1,21.1,299
259,R,46.5 -67.3 36.2,Default,,,259,76,R_Default_29,Default,29,46.5,-67.3,36.2,307
260,R,41.5 -53.5 44,FrontoParietal,,,260,111,R_FrontoParietal_15,FrontoParietal,15,41.5,-53.5,44,308
261,R,35.7 -56.7 45.2,FrontoParietal,,,261,112,R_FrontoParietal_16,FrontoParietal,16,35.7,-56.7,45.2,309
262,R,33.5 -48.2 49.4,DorsalAttn,,,262,198,R_DorsalAttn_29,DorsalAttn,29,33.5,-48.2,49.4,310
263,R,31.7 -85.7 2.4,Visual,,,263,252,R_Visual_28,Visual,28,31.7,-85.7,2.4,311
264,R,43.8 -67.2 2,Visual,,,264,253,R_Visual_29,Visual,29,43.8,-67.2,2,2
265,R,47.3 -52.4 -11.7,Visual,,,265,254,R_Visual_30,Visual,30,47.3,-52.4,-11.7,30
266,R,57 -53.8 -1.1,DorsalAttn,,,266,199,R_DorsalAttn_30,DorsalAttn,30,57,-53.8,-1.1,31
267,R,49 -54.5 8.8,Visual,,,267,255,R_Visual_31,Visual,31,49,-54.5,8.8,32
268,R,60.9 -2.2 10.7,Auditory,,,268,330,R_Auditory_21,Auditory,21,60.9,-2.2,10.7,33
269,R,54.2 -13.6 16.9,Auditory,,,269,331,R_Auditory_22,Auditory,22,54.2,-13.6,16.9,35
270,R,53 -22.7 39.1,SMhand,,,270,301,R_SMhand_38,SMhand,38,53,-22.7,39.1,36
271,R,47.3 2 37.6,DorsalAttn,,,271,200,R_DorsalAttn_31,DorsalAttn,31,47.3,2,37.6,37
272,R,37.8 28.7 35.6,FrontoParietal,,,272,113,R_FrontoParietal_17,FrontoParietal,17,37.8,28.7,35.6,38
273,R,41.8 29.1 21.6,FrontoParietal,,,273,114,R_FrontoParietal_18,FrontoParietal,18,41.8,29.1,21.6,45
274,R,50.1 3 3.9,CinguloOperc,,,274,162,R_CinguloOperc_38,CinguloOperc,38,50.1,3,3.9,46
275,R,46.6 7.8 19.3,DorsalAttn,,,275,201,R_DorsalAttn_32,DorsalAttn,32,46.6,7.8,19.3,47
276,R,38.6 18.8 25.5,FrontoParietal,,,276,115,R_FrontoParietal_19,FrontoParietal,19,38.6,18.8,25.5,48
277,R,28.4 57 -5.1,FrontoParietal,,,277,116,R_FrontoParietal_20,FrontoParietal,20,28.4,57,-5.1,50
278,R,4.8 65.1 -7.1,Default,,,278,77,R_Default_30,Default,30,4.8,65.1,-7.1,54
279,R,7.2 48.4 -10.1,Default,,,279,78,R_Default_31,Default,31,7.2,48.4,-10.1,56
280,R,2.9 18.7 -23.2,None,,,280,25,R_None_25,None,25,2.9,18.7,-23.2,57
281,R,35.1 37.3 -8.4,None,,,281,26,R_None_26,None,26,35.1,37.3,-8.4,58
282,R,25.4 8.9 -15.7,None,,,282,27,R_None_27,None,27,25.4,8.9,-15.7,163
283,R,21.2 30.3 -15.2,None,,,283,28,R_None_28,None,28,21.2,30.3,-15.2,190
284,R,21.6 51.1 -14.1,None,,,284,29,R_None_29,None,29,21.6,51.1,-14.1,191
285,R,11.9 25.7 -24.8,None,,,285,30,R_None_30,None,30,11.9,25.7,-24.8,193
286,R,13.5 20.3 -15.2,None,,,286,31,R_None_31,None,31,13.5,20.3,-15.2,194
287,R,10.9 39.1 -19.7,None,,,287,32,R_None_32,None,32,10.9,39.1,-19.7,195
288,R,2.2 39 -25.6,None,,,288,33,R_None_33,None,33,2.2,39,-25.6,201
289,R,62.3 -26.4 -16,None,,,289,34,R_None_34,None,34,62.3,-26.4,-16,202
290,R,57.5 -7.4 -16.4,Default,,,290,79,R_Default_32,Default,32,57.5,-7.4,-16.4,204
291,R,54.7 -7.8 -26.9,None,,,291,35,R_None_35,None,35,54.7,-7.8,-26.9,205
292,R,45.2 13.6 -30.1,None,,,292,36,R_None_36,None,36,45.2,13.6,-30.1,206
293,R,31.2 -45.6 -5.8,Visual,,,293,256,R_Visual_32,Visual,32,31.2,-45.6,-5.8,207
294,R,34.6 -35.6 -12.3,RetrosplenialTemporal,,,294,94,R_ParietoOccip_6,ParietoOccip,6,34.6,-35.6,-12.3,209
295,R,34.6 -23.9 -20.4,RetrosplenialTemporal,,,295,95,R_ParietoOccip_7,ParietoOccip,7,34.6,-23.9,-20.4,210
296,R,20.1 -21.4 -21.5,None,,,296,37,R_None_37,None,37,20.1,-21.4,-21.5,213
297,R,28 -0.4 -37.3,None,,,297,38,R_None_38,None,38,28,-0.4,-37.3,214
298,R,26.9 -69.1 -6.6,Visual,,,298,257,R_Visual_33,Visual,33,26.9,-69.1,-6.6,215
299,R,34.9 -44 -20,Visual,,,299,258,R_Visual_34,Visual,34,34.9,-44,-20,216
300,R,36.8 7.7 -37.9,None,,,300,39,R_None_39,None,39,36.8,7.7,-37.9,217
301,R,54.5 -9.6 -37,None,,,301,40,R_None_40,None,40,54.5,-9.6,-37,270
302,R,56.4 -27 -19.4,None,,,302,41,R_None_41,None,41,56.4,-27,-19.4,3
303,R,31.1 2.2 -46.1,None,,,303,42,R_None_42,None,42,31.1,2.2,-46.1,39
304,R,39.5 -11.9 -29.7,None,,,304,43,R_None_43,None,43,39.5,-11.9,-29.7,53
305,R,31.6 -9.4 -35.5,None,,,305,44,R_None_44,None,44,31.6,-9.4,-35.5,59
306,R,43.4 -24.1 -20.8,None,,,306,45,R_None_45,None,45,43.4,-24.1,-20.8,164
307,R,13.8 -92.3 14.7,Visual,,,307,259,R_Visual_35,Visual,35,13.8,-92.3,14.7,197
308,R,10.5 -73.8 -1.5,Visual,,,308,260,R_Visual_36,Visual,36,10.5,-73.8,-1.5,212
309,R,20.4 -87.3 -6.6,Visual,,,309,261,R_Visual_37,Visual,37,20.4,-87.3,-6.6,218
310,R,5.1 -80.2 23.1,Visual,,,310,262,R_Visual_38,Visual,38,5.1,-80.2,23.1,10
311,R,14.6 -70.3 23.3,Visual,,,311,263,R_Visual_39,Visual,39,14.6,-70.3,23.3,64
312,R,19.5 -10.8 -24.9,None,,,312,46,R_None_46,None,46,19.5,-10.8,-24.9,65
313,R,24.5 -36.2 -13.2,RetrosplenialTemporal,,,313,96,R_ParietoOccip_8,ParietoOccip,8,24.5,-36.2,-13.2,66
314,R,30.4 -18.8 -19.4,None,,,314,47,R_None_47,None,47,30.4,-18.8,-19.4,67
315,R,21 32.8 42.1,Default,,,315,80,R_Default_33,Default,33,21,32.8,42.1,68
316,R,21.4 42.8 35.1,Default,,,316,81,R_Default_34,Default,34,21.4,42.8,35.1,69
317,R,24.4 50.8 24.3,CinguloOperc,,,317,163,R_CinguloOperc_39,CinguloOperc,39,24.4,50.8,24.3,70
318,R,31.3 39.7 25.6,CinguloOperc,,,318,164,R_CinguloOperc_40,CinguloOperc,40,31.3,39.7,25.6,77
319,R,23.5 59.1 4.9,FrontoParietal,,,319,117,R_FrontoParietal_21,FrontoParietal,21,23.5,59.1,4.9,102
320,R,30.9 52.2 9.9,FrontoParietal,,,320,118,R_FrontoParietal_22,FrontoParietal,22,30.9,52.2,9.9,104
321,R,16 61 19.8,Default,,,321,82,R_Default_35,Default,35,16,61,19.8,160
322,R,8.2 53.8 14,Default,,,322,83,R_Default_36,Default,36,8.2,53.8,14,171
323,R,5.9 54.9 29.4,Default,,,323,84,R_Default_37,Default,37,5.9,54.9,29.4,224
324,R,13.8 46.7 42.1,Default,,,324,85,R_Default_38,Default,38,13.8,46.7,42.1,227
325,R,6.8 44.5 34.8,Default,,,325,86,R_Default_39,Default,39,6.8,44.5,34.8,230
326,R,30.6 18.9 48.7,Default,,,326,87,R_Default_40,Default,40,30.6,18.9,48.7,232
327,R,42.4 19.5 48.2,FrontoParietal,,,327,119,R_FrontoParietal_23,FrontoParietal,23,42.4,19.5,48.2,233
328,R,38.9 9.6 42.7,FrontoParietal,,,328,120,R_FrontoParietal_24,FrontoParietal,24,38.9,9.6,42.7,239
329,R,39.7 -22.5 2.6,Auditory,,,329,332,R_Auditory_23,Auditory,23,39.7,-22.5,2.6,244
330,R,55.8 2 -2,Auditory,,,330,333,R_Auditory_24,Auditory,24,55.8,2,-2,268
331,R,54.4 1.1 -12.9,Default,,,331,88,R_Default_41,Default,41,54.4,1.1,-12.9,269
332,R,57.1 -6.3 -7.7,VentralAttn,,,332,223,R_VentralAttn_22,VentralAttn,22,57.1,-6.3,-7.7,329
333,R,46.6 -21.5 -8.5,VentralAttn,,,333,224,R_VentralAttn_23,VentralAttn,23,46.6,-21.5,-8.5,330
334,L,51 51 39,SubCortical,,,334,334,L_Amygdala,Subcort,1,,,,334
335,L,51 71 38,SubCortical,,,335,336,L_Hippocampus,Subcort,3,,,,341
336,L,56 67 34,SubCortical,,,336,338,L_Accumbens,Subcort,5,,,,335
337,L,54 62 35,SubCortical,,,337,340,L_Caudate,Subcort,7,,,,342
338,L,59 54 27,SubCortical,,,338,342,L_Pallidum,Subcort,9,,,,336
339,L,57 61 27,SubCortical,,,339,344,L_Putamen,Subcort,11,,,,343
340,L,50 70 33,SubCortical,,,340,346,L_Thalamus,Subcort,13,,,,337
341,R,38 51 39,SubCortical,,,341,335,R_Amygdala,Subcort,2,,,,344
342,R,39 72 37,SubCortical,,,342,337,R_Hippocampus,Subcort,4,,,,338
343,R,34 68 34,SubCortical,,,343,339,R_Accumbens,Subcort,6,,,,345
344,R,35 61 35,SubCortical,,,344,341,R_Caudate,Subcort,8,,,,339
345,R,31 57 25,SubCortical,,,345,343,R_Pallidum,Subcort,10,,,,346
346,R,32 63 25,SubCortical,,,346,345,R_Putamen,Subcort,12,,,,340
347,R,40 69 32,SubCortical,,,347,347,R_Thalamus,Subcort,14,,,,347
348,L,96 80 54,Cerebellum,,,,,,,,,,,
349,R,83 80 55,Cerebellum,,,,,,,,,,,
350,L,106 75 52,Cerebellum,,,,,,,,,,,
351,R,77 71 55,Cerebellum,,,,,,,,,,,
352,L,104 57 50,Cerebellum,,,,,,,,,,,
353,V,89 56 51,Cerebellum,,,,,,,,,,,
354,R,72 58 49,Cerebellum,,,,,,,,,,,
355,L,132 61 39,Cerebellum,,,,,,,,,,,
356,V,93 49 47,Cerebellum,,,,,,,,,,,
357,R,48 60 40,Cerebellum,,,,,,,,,,,
358,L,107 45 31,Cerebellum,,,,,,,,,,,
359,V,89 51 42,Cerebellum,,,,,,,,,,,
360,R,73 45 33,Cerebellum,,,,,,,,,,,
361,L,124 62 18,Cerebellum,,,,,,,,,,,
362,V,88 58 42,Cerebellum,,,,,,,,,,,
363,R,65 55 20,Cerebellum,,,,,,,,,,,
364,L,115 66 17,Cerebellum,,,,,,,,,,,
365,V,88 56 32,Cerebellum,,,,,,,,,,,
366,R,63 66 16,Cerebellum,,,,,,,,,,,
367,L,108 72 16,Cerebellum,,,,,,,,,,,
368,V,89 62 31,Cerebellum,,,,,,,,,,,
369,R,70 73 17,Cerebellum,,,,,,,,,,,
370,L,97 72 22,Cerebellum,,,,,,,,,,,
371,V,89 69 35,Cerebellum,,,,,,,,,,,
372,R,82 71 24,Cerebellum,,,,,,,,,,,
373,L,114 89 27,Cerebellum,,,,,,,,,,,
374,V,89 77 35,Cerebellum,,,,,,,,,,,
375,R,66 89 26,Cerebellum,,,,,,,,,,,
